userId,movieId,rating,timestamp
2107,1955,2.0,1393680779
2107,3263,1.0,1393680729
2107,6947,3.5,1393680697
6445,412,4.5,1241040850
6445,428,5.0,1241040844
6445,1233,4.5,1241025950
6445,1345,4.0,1241040771
6445,1687,3.5,1241040864
6445,2001,3.0,1241025944
6445,2278,3.5,1241040751
6445,2366,4.5,1241040798
6445,2622,3.0,1241040894
6445,2950,3.0,1241040908
6445,4446,4.0,1241040823
6445,5013,2.0,1241040815
6445,6383,3.5,1241040974
6445,37741,4.0,1241040949
6445,56782,3.5,1241040984
7392,32,4.0,839362780
7392,47,5.0,839362780
7392,147,3.0,839362667
7392,150,3.0,839362126
7392,153,4.0,839362215
7392,161,4.0,839362330
7392,165,3.0,839362215
7392,175,2.0,839362667
7392,208,3.0,839362780
7392,231,4.0,839362286
7392,292,4.0,839362330
7392,296,4.0,839362126
7392,316,3.0,839362286
7392,318,4.0,839362330
7392,329,5.0,839362285
7392,344,5.0,839362215
7392,349,5.0,839362215
7392,357,4.0,839362780
7392,367,4.0,839362780
7392,380,3.0,839362126
7392,427,1.0,839362577
7392,434,3.0,839362330
7392,457,4.0,839362330
7392,588,3.0,839362215
7392,590,4.0,839362126
7392,592,3.0,839362126
7392,593,5.0,839362286
7392,780,3.0,839362728
7392,786,4.0,839362728
7885,1,4.0,963998178
7885,6,5.0,963998706
7885,17,3.0,963998210
7885,21,3.0,963998613
7885,32,3.0,963998706
7885,34,4.0,963998074
7885,36,3.0,963998409
7885,39,4.0,963998498
7885,50,2.0,963998060
7885,60,3.0,963999332
7885,62,3.0,963998755
7885,73,4.0,963998060
7885,101,4.0,963998774
7885,151,2.0,963998556
7885,161,2.0,963998724
7885,162,3.0,963998042
7885,176,4.0,963998383
7885,190,2.0,963998434
7885,223,2.0,963998246
7885,224,2.0,963999132
7885,235,3.0,963998597
7885,246,4.0,963997981
7885,247,3.0,963998314
7885,260,3.0,963997480
7885,262,3.0,963998042
7885,281,4.0,963998467
7885,292,2.0,963999313
7885,296,3.0,963998074
7885,306,3.0,963998042
7885,307,5.0,963998228
7885,308,3.0,963998263
7885,314,3.0,963998674
7885,317,2.0,963998741
7885,318,4.0,963997981
7885,319,2.0,963998383
7885,320,3.0,963999332
7885,335,2.0,963998648
7885,341,3.0,963998109
7885,342,3.0,963998635
7885,373,3.0,963998635
7885,377,1.0,963998383
